int,float,int,int
Stage,Angle,BlockIndex,BlockHP
@,,,
단계,발사각도,벽돌 종류,체력
1,40,"1,1,2","1,1,1"
2,140,"1,1,2,2","1,1,1,1"
3,30,"1,1,2,3","1,1,1,2"
4,120,"1,2,2,3","1,1,1,2"
5,75,"1,1,2,2,3","1,1,1,1,2"
6,25,"1,1,2,3,4","1,1,1,2,1"
7,160,"1,1,2,3,5","1,1,1,2,1"
8,130,"1,1,3,4,5","1,1,2,1,1"
9,30,"2,3,3,4","1,2,2,1"
10,100,"2,2,3,6","1,1,1,1"
11,40,"1,2,3,5,6","1,1,2,1,1"
12,150,"1,2,3,4,5,6","1,1,2,1,1,1"
13,55,"3,3,5,7","2,2,1,1"
14,130,"1,1,1,5,8","1,1,1,1,1"
15,70,"1,1,3,7,8","1,1,2,1,1"
16,160,"1,1,2,7,7,8","1,1,1,1,1,1"
17,30,"4,4,4,4","1,1,1,1"
18,140,"1,2,3,5,9","1,1,2,1,1"
19,55,"6,7,7,7,8,8","1,1,1,1,1,1"
20,150,"3,3,4,5,6,9","2,2,1,1,1,1"
@,,,
